ID,SA4_ID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,3
10,9
11,10
12,11
13,9
14,12
15,13
16,10
17,14
18,15
19,16
20,17
21,18
22,7
23,6
24,9
25,9
26,19
27,20
28,20
29,12
30,9
31,21
32,3
33,4
34,4
35,19
36,22
37,15
38,23
39,13
40,13
41,4
42,21
43,6
44,19
45,24
46,24
47,4
48,25
49,4
50,11
51,16
52,16
53,5
54,5
55,26
56,27
57,28
58,12
59,18
60,24
61,6
62,12
63,23
64,29
65,30
66,14
67,12
68,31
69,32
70,21
71,32
72,15
73,4
74,33
75,34
76,1
77,4
78,20
79,29
80,11
81,27
82,15
83,2
84,12
85,35
86,14
87,9
88,9
89,7
90,36
91,37
92,38
93,39
94,32
95,2
96,25
97,14
98,40
99,36
100,24
101,40
102,19
103,27
104,19
105,41
106,41
107,14
108,14
109,37
110,15
111,12
112,7
113,42
114,34
115,16
116,43
117,44
118,45
119,4
120,4
121,30
122,3
123,11
124,11
125,15
126,13
127,6
128,18
129,5
130,46
131,28
132,7
133,7
134,16
135,11
136,2
137,47
138,15
139,48
140,11
141,11
142,49
143,40
144,7
145,27
146,13
147,15
148,15
149,9
150,32
151,19
152,41
153,50
154,2
155,6
156,35
157,12
158,37
159,24
160,14
161,27
162,27
163,1
164,16
165,4
166,51
167,37
168,37
169,36
170,12
171,52
172,22
173,20
174,14
175,52
176,26
177,3
178,44
179,35
180,19
181,19
182,53
183,25
184,16
185,28
186,41
187,39
188,20
189,52
190,34
191,7
192,37
193,31
194,14
195,21
196,41
197,54
198,10
199,21
200,13
201,20
202,35
203,22
204,15
205,50
206,41
207,51
208,55
209,11
210,35
211,31
212,31
213,9
214,9
215,13
216,31
217,37
218,51
219,19
220,41
221,38
222,27
223,6
224,12
225,56
226,56
227,53
228,13
229,42
230,18
231,43
232,57
233,58
234,44
235,35
236,10
237,39
238,54
239,57
240,15
241,59
242,37
243,11
244,60
245,55
246,58
247,15
248,43
249,14
250,14
251,18
252,8
253,61
254,62
255,55
256,10
257,34
258,34
259,31
260,25
261,13
262,25
263,32
264,22
265,22
266,22
267,22
268,63
269,36
270,1
271,21
272,64
273,14
274,1
275,53
276,52
277,52
278,14
279,33
280,53
281,65
282,66
283,38
284,27
285,59
286,18
287,32
288,15
289,4
290,4
291,64
292,45
293,29
294,55
295,9
296,59
297,20
298,15
299,67
300,45
301,54
302,34
303,59
304,19
305,40
306,24
307,7
308,59
309,38
310,22
311,15
312,28
313,7
314,30
315,24
316,67
317,4
318,32
319,32
320,59
321,59
322,68
323,68
324,54
325,27
326,27
327,63
328,59
329,65
330,12
331,12
332,24
333,41
334,8
335,17
336,16
337,21
338,13
339,14
340,18
341,7
342,38
343,57
344,52
345,16
346,23
347,4
348,67
349,14
350,40
351,10
352,42
353,3
354,19
355,19
356,41
357,69
358,45
359,4
360,4
361,63
362,63
363,65
364,22
365,52
366,67
367,43
368,40
369,41
370,60
371,55
372,38
373,20
374,20
375,20
376,53
377,15
378,67
379,20
380,61
381,70
382,12
383,23
384,3
385,27
386,53
387,33
388,17
389,6
390,33
391,38
392,9
393,21
394,45
395,12
396,41
397,27
398,9
399,27
400,6
401,20
402,69
403,69
404,63
405,63
406,21
407,13
408,71
409,26
410,14
411,30
412,4
413,8
414,16
415,16
416,55
417,43
418,39
419,16
420,60
421,60
422,4
423,4
424,72
425,4
426,54
427,3
428,3
429,50
430,21
431,15
432,15
433,50
434,26
435,48
436,11
437,8
438,66
439,49
440,39
441,37
442,38
443,11
444,11
445,11
446,21
447,18
448,18
449,22
450,52
451,24
452,16
453,34
454,20
455,43
456,35
457,62
458,63
459,63
460,15
461,73
462,9
463,47
464,9
465,1
466,37
467,33
468,5
469,19
470,40
471,72
472,52
473,4
474,4
475,66
476,38
477,57
478,15
479,60
480,12
481,12
482,67
483,25
484,40
485,7
486,4
487,34
488,11
489,11
490,53
491,53
492,68
493,37
494,63
495,67
496,63
497,31
498,31
499,7
500,36
501,61
502,74
503,14
504,25
505,38
506,38
507,46
508,34
509,35
510,22
511,23
512,7
513,7
514,7
515,59
516,27
517,33
518,23
519,14
520,66
521,22
522,62
523,24
524,27
525,52
526,24
527,24
528,46
529,70
530,7
531,17
532,59
533,20
534,20
535,20
536,26
537,32
538,7
539,67
540,23
541,61
542,40
543,23
544,21
545,28
546,28
547,22
548,31
549,26
550,43
551,43
552,68
553,50
554,50
555,73
556,43
557,48
558,27
559,62
560,44
561,55
562,33
563,26
